player_name,player_name_og,player_rating,top_streak,current_streak,number_of_games,number_of_max_scores,signup_datetime
zerodium,sodiumdebt,1200.0,0,0,0,0,
dapperblook,pianoblook,1189.2027742077296,2,0,3,2,
KaitoKid_S0,Kaito Kid,1200.0,0,0,0,0,
miceranked,micerang,1279.0867134777036,7,0,12,8,
eliclax_PHL,eliclax,1239.8996016636488,3,3,6,4,
Brendan7626,brendan7625,1200.0,0,0,0,0,
tyranasauruselo,tyranasaurus,1200.0,0,0,0,0,
KildaScoreHunt,StKildaFan,1217.8327492623048,5,5,14,10,
Draku,Sturm,1642.7048577806115,8,4,86,56,
LanvinLeague,Lanvin,1200.0,0,0,0,0,
Jooleague,Joo,1200.0,0,0,0,0,
obiwan_kenobi,Yagami Black,1246.4094139814433,4,0,19,9,
Ramanujan,Ramanujan1729,1677.1354767589314,20,1,74,50,
leftvoid,downvoid,1182.0360084393494,3,0,27,14,
Cynas0,Cynas,1200.0,0,0,0,0,
vermling,beyoken,1152.2872832731648,2,0,7,4,
_maddy_,maddy,1200.0,0,0,0,0,
hinomizu,wateroffire,1152.2872832731648,2,0,7,4,
rkassrated,rkass,1272.1526190752093,2,2,2,2,
Firehehe,fireheart,1200.0,0,0,0,0,
Incogneato,Kyle,1240.7697203125977,2,0,4,2,
LeagueLana,HelanaAshryvr,1477.9329057978891,11,0,29,20,
FinFar,FinalFarce,1200.0,0,0,0,0,
Roeleague,Roeantste,1181.7761193643355,2,2,5,3,
FloHL,Florian,1200.0,0,0,0,0,
Moonrose,Valetta6789,1200.0,0,0,0,0,
Neempasta,Neema,1470.6290837858403,13,0,20,16,
MarkusKarlsen,Markus,1711.149783721015,8,2,27,23,
PHLspring,spring,1629.8404189299204,14,0,84,51,
str8forward,str8tsknacker,1599.552656450491,8,0,41,32,
nox,kimbifille,1343.3737411560871,5,0,11,8,
FlameWill,WillFlame,1221.4610884085196,2,2,2,2,
hak,hakha3,1200.0,0,0,0,0,
TwinHoodie,TimeHoodie,1432.294885961656,7,0,25,14,
LeCoco,Coco,1312.0413956377986,4,0,17,10,
newdukeL,newduke,1535.4856211086337,7,0,86,50,
masteradept,RIMBarisax,1152.2872832731648,2,0,7,4,
ejwu2,ejwu,1200.0,0,0,0,0,
purplejoeAlt,Purple joe,1200.0,0,0,0,0,
posij119,posij118,1291.6532554469063,7,0,12,8,
h2-league,aitch2,1200.0,0,0,0,0,
Remake,ADrone,1200.0,0,0,0,0,
avan,avanderwalde,1272.1526190752093,2,2,2,2,
Ljoelw,joel,1180.8718041195948,0,0,1,0,
Cinnamoroll,omegaxis,1216.888642909961,1,1,1,1,
LeagueIndego,indego,1206.034525187801,1,1,1,1,
shinymew,IAMJEFF,1292.1145166165747,4,4,4,4,
sin_harmonic,sin_faith,1230.271557513493,3,3,3,3,
TugaGirl,Elena,1170.2513523361663,0,0,1,0,
